feature_class	module	feature	gene_symbol	ids	n_ids	ko_ids	ec_ids	cazy_ids	camper_ids	confidence	description	reference
LBP_glycan	LRGP3	β-galactosidase gene; conditional specific exo/endo galactanase if side chain is continuous	β-galactosidase gene; conditional specific exo/endo galactanase if side chain is continuous	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH30,GH35,GH39,GH42,GH43,GH5,GH50,GH54	15		EC:3.2.1.145,EC:3.2.1.164,EC:3.2.1.23	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH30,GH35,GH39,GH42,GH43,GH5,GH50,GH54		Medium	Branch | (1→6)-β-Galp; (1→3)-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LRGP3	α-L-rhamnosidase gene	α-L-rhamnosidase gene	GH106,GH78	2		EC:3.2.1.40	GH106,GH78		Medium	Branch | (1→2,4)-α-Rhap	https://doi.org/10.3390/foods11203177
LBP_glycan	LRGP1	galactan endo-1,3-β-galactosidase gene if β-Galp; otherwise unresolved	galactan endo-1,3-β-galactosidase gene if β-Galp; otherwise unresolved	GH16,GH43	2		EC:3.2.1.181	GH16,GH43		Low	Backbone | (1→3)-linked Gal	https://doi.org/10.3390/foods11203177
LBP_glycan	LRGP1	α-L-arabinofuranosidase gene; endo-α-1,5-arabinanase conditional	α-L-arabinofuranosidase gene; endo-α-1,5-arabinanase conditional	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62	8		EC:3.2.1.55,EC:3.2.1.99	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62		Medium	Branch | (1→2)-linked Ara; (1→5)-linked Ara	https://doi.org/10.3390/foods11203177
LBP_glycan	LRGP1	galactosidase/galactanase candidate unresolved until α/β and chain length are confirmed	galactosidase/galactanase candidate unresolved until α/β and chain length are confirmed	GH1,GH110,GH147,GH16,GH165,GH173,GH2,GH27,GH3,GH30,GH31,GH35,GH36,GH39,GH4,GH42,GH43,GH5,GH50,GH54,GH57,GH97	22		EC:3.2.1.145,EC:3.2.1.164,EC:3.2.1.22,EC:3.2.1.23	GH1,GH110,GH147,GH16,GH165,GH173,GH2,GH27,GH3,GH30,GH31,GH35,GH36,GH39,GH4,GH42,GH43,GH5,GH50,GH54,GH57,GH97		Low	Branch | (1→3)-linked Gal; (1→4)-linked Gal; (1→6)-linked Gal	https://doi.org/10.3390/foods11203177
LBP_glycan	LRGP1	α-L-rhamnosidase gene	α-L-rhamnosidase gene	GH106,GH78	2		EC:3.2.1.40	GH106,GH78		Medium	Branch | (1→2)-linked Rha	https://doi.org/10.3390/foods11203177
LBP_glycan	AGPs	galactan endo-1,3-β-galactosidase gene	galactan endo-1,3-β-galactosidase gene	GH16,GH43	2		EC:3.2.1.181	GH16,GH43		High	Backbone | (1→3)-β-D-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	AGPs	α-L-arabinofuranosidase and β-L-arabinofuranosidase genes	α-L-arabinofuranosidase and β-L-arabinofuranosidase genes	GH127,GH137,GH142,GH146,GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62	12		EC:3.2.1.185,EC:3.2.1.55	GH127,GH137,GH142,GH146,GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62		High	Branch | (1→5)-α-Araf; T-α-Araf; T-β-Araf	https://doi.org/10.3390/foods11203177
LBP_glycan	AGPs	α-L-rhamnosidase gene	α-L-rhamnosidase gene	GH106,GH78	2		EC:3.2.1.40	GH106,GH78		High	Branch | T-α-Rhap	https://doi.org/10.3390/foods11203177
LBP_glycan	AGPs	β-glucuronidase gene	β-glucuronidase gene	GH1,GH2,GH3,GH79	4		EC:3.2.1.31	GH1,GH2,GH3,GH79		High	Branch | T-β-GlcpA	https://doi.org/10.3390/foods11203177
LBP_glycan	WSP1	galactan endo-1,3-β-galactosidase gene if β-Galp; otherwise unresolved	galactan endo-1,3-β-galactosidase gene if β-Galp; otherwise unresolved	GH16,GH43	2		EC:3.2.1.181	GH16,GH43		Low	Backbone | (1→3)-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	WSP1	α-L-arabinofuranosidase; β-galactosidase genes	α-L-arabinofuranosidase; β-galactosidase genes	GH1,GH147,GH159,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH43,GH5,GH50,GH51,GH54,GH62	17		EC:3.2.1.23,EC:3.2.1.55	GH1,GH147,GH159,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH43,GH5,GH50,GH51,GH54,GH62		Medium	Branch | Araf and Galp substituted on O-6	https://doi.org/10.3390/foods11203177
